src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
185.125.190.57,172.20.154.248,17,90,1741863319.905453,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741863355.322117,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741863356.622360,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741863392.039942,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741863392.771963,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741863427.595610,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741863428.707354,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741863464.046802,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741863464.298786,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1741863498.965874,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1741863499.537151,40,1427.275448,
172.20.144.1,239.255.255.250,17,179,1741863536.298079,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741863536.298080,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741863536.298081,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1741863536.298081,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741863536.372491,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,393,1741863536.429797,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1741863571.674249,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,184,1741863571.742207,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1741863571.746178,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1741863573.257667,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1741863574.275696,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741863574.569886,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1741863574.988304,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1741863575.997051,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1741863576.293509,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741863577.585348,373,1625.965925,
172.20.154.248,49.44.116.238,6,74,1741863578.712461,76,1614.262326,0.3
49.44.116.238,172.20.154.248,6,74,1741863578.736026,4,627.684664,
172.20.154.248,49.44.116.238,6,66,1741863578.736505,76,1614.262326,0.3
