src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863596,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863599,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863600,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863602,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741863602,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863604,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741863604,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863606,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741863620,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863624,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863624,40,1427.275448,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741863629,373,1625.965925,
172.20.144.1,224.0.0.251,17,296,1970-01-01 00:00:01.741863652,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863656,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863656,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863689,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863689,40,1427.275448,
172.20.144.1,224.0.0.251,17,83,1970-01-01 00:00:01.741863709,373,1625.965925,
172.20.144.1,224.0.0.251,17,296,1970-01-01 00:00:01.741863714,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863724,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863724,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863759,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863759,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863794,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863795,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863830,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863830,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863865,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863866,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863901,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863901,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863936,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863936,40,1427.275448,
172.20.144.1,224.0.0.251,17,83,1970-01-01 00:00:01.741863952,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863971,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863972,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741864007,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741864007,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741864042,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741864042,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741864077,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741864077,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741864112,76,1614.262326,0.3
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864121,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1970-01-01 00:00:01.741864122,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1970-01-01 00:00:01.741864122,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1970-01-01 00:00:01.741864123,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864123,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741864123,373,1625.965925,
172.20.144.1,224.0.0.251,17,393,1970-01-01 00:00:01.741864123,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864123,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741864124,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864124,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864124,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864124,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741864125,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741864126,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741864126,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864126,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741864127,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741864127,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741864127,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741864127,373,1625.965925,
